open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,ignore,open_datetime,close_datetime
1773314126000,70412.86,70417.2,70408.9,70417.2,0.12473,1773314126999,8782.3207195,314,0.02397,1687.7471514,0,2026-03-12 11:15:26+00:00,2026-03-12 11:15:26.999000+00:00
1773314127000,70417.2,70421.72,70417.2,70421.72,0.0391,1773314127999,2753.3777401,69,0.03503,2466.7613804,0,2026-03-12 11:15:27+00:00,2026-03-12 11:15:27.999000+00:00
1773314128000,70421.72,70426.88,70421.72,70426.88,0.03137,1773314128999,2209.1873225,87,0.02766,1947.9036348,0,2026-03-12 11:15:28+00:00,2026-03-12 11:15:28.999000+00:00
1773314129000,70426.88,70426.88,70426.87,70426.88,0.06018,1773314129999,4238.2895802,3,0.05436,3828.4051968,0,2026-03-12 11:15:29+00:00,2026-03-12 11:15:29.999000+00:00
1773314130000,70426.87,70426.87,70426.87,70426.87,0.0713,1773314130999,5021.435831,3,0.0,0.0,0,2026-03-12 11:15:30+00:00,2026-03-12 11:15:30.999000+00:00
1773314131000,70426.88,70426.88,70426.87,70426.87,0.28689,1773314131999,20204.7647527,3,0.00184,129.5854592,0,2026-03-12 11:15:31+00:00,2026-03-12 11:15:31.999000+00:00
1773314132000,70426.88,70426.88,70426.87,70426.88,0.02853,1773314132999,2009.2788766,6,0.02755,1940.260544,0,2026-03-12 11:15:32+00:00,2026-03-12 11:15:32.999000+00:00
1773314133000,70426.88,70426.88,70426.87,70426.87,0.01043,1773314133999,734.5522551,3,0.0001,7.042688,0,2026-03-12 11:15:33+00:00,2026-03-12 11:15:33.999000+00:00
1773314134000,70426.87,70426.87,70426.87,70426.87,0.04272,1773314134999,3008.6358864,2,0.0,0.0,0,2026-03-12 11:15:34+00:00,2026-03-12 11:15:34.999000+00:00
1773314135000,70426.87,70426.88,70426.87,70426.88,0.07146,1773314135999,5032.7048434,17,0.07132,5022.8450816,0,2026-03-12 11:15:35+00:00,2026-03-12 11:15:35.999000+00:00
1773314136000,70426.87,70426.88,70426.87,70426.88,0.11163,1773314136999,7861.7525818,11,0.10837,7632.1609856,0,2026-03-12 11:15:36+00:00,2026-03-12 11:15:36.999000+00:00
1773314137000,70426.87,70426.87,70426.87,70426.87,0.01984,1773314137999,1397.2691008,2,0.0,0.0,0,2026-03-12 11:15:37+00:00,2026-03-12 11:15:37.999000+00:00
1773314138000,70426.87,70426.88,70426.87,70426.88,0.00044,1773314138999,30.987824,2,0.00012,8.4512256,0,2026-03-12 11:15:38+00:00,2026-03-12 11:15:38.999000+00:00
1773314139000,70426.88,70427.11,70426.88,70427.1,0.09633,1773314139999,6784.2241248,59,0.08386,5905.9981878,0,2026-03-12 11:15:39+00:00,2026-03-12 11:15:39.999000+00:00
1773314140000,70427.1,70429.09,70427.1,70429.09,0.06484,1773314140999,4566.5562839,131,0.06474,4559.5135739,0,2026-03-12 11:15:40+00:00,2026-03-12 11:15:40.999000+00:00
1773314141000,70429.08,70431.99,70429.08,70431.99,0.09726,1773314141999,6849.9404588,87,0.09715,6842.19326,0,2026-03-12 11:15:41+00:00,2026-03-12 11:15:41.999000+00:00
1773314142000,70432.0,70432.0,70431.99,70431.99,0.00772,1773314142999,543.7349713,5,0.00085,59.8672,0,2026-03-12 11:15:42+00:00,2026-03-12 11:15:42.999000+00:00
1773314143000,70431.99,70431.99,70431.99,70431.99,0.00497,1773314143999,350.0469903,3,0.0,0.0,0,2026-03-12 11:15:43+00:00,2026-03-12 11:15:43.999000+00:00
1773314144000,70432.0,70432.0,70431.99,70431.99,0.00326,1773314144999,229.6082924,4,0.0005,35.216,0,2026-03-12 11:15:44+00:00,2026-03-12 11:15:44.999000+00:00
1773314145000,70432.0,70432.0,70432.0,70432.0,0.01153,1773314145999,812.08096,2,0.01153,812.08096,0,2026-03-12 11:15:45+00:00,2026-03-12 11:15:45.999000+00:00
1773314146000,70432.0,70432.0,70431.99,70431.99,0.11336,1773314146999,7984.1705289,5,0.01425,1003.656,0,2026-03-12 11:15:46+00:00,2026-03-12 11:15:46.999000+00:00
1773314147000,70432.0,70435.11,70432.0,70435.11,0.03627,1773314147999,2554.6090801,107,0.03627,2554.6090801,0,2026-03-12 11:15:47+00:00,2026-03-12 11:15:47.999000+00:00
1773314148000,70435.68,70444.44,70435.68,70444.44,0.03841,1773314148999,2705.5519898,124,0.0352,2479.4368958,0,2026-03-12 11:15:48+00:00,2026-03-12 11:15:48.999000+00:00
1773314149000,70444.44,70444.45,70444.44,70444.45,0.04466,1773314149999,3146.0491354,2,0.0445,3134.778025,0,2026-03-12 11:15:49+00:00,2026-03-12 11:15:49.999000+00:00
1773314150000,70444.44,70444.45,70444.44,70444.45,0.06573,1773314150999,4630.3130431,3,0.00019,13.3844455,0,2026-03-12 11:15:50+00:00,2026-03-12 11:15:50.999000+00:00
1773314151000,70444.44,70444.45,70444.44,70444.45,0.06351,1773314151999,4473.9270132,7,0.06288,4429.547016,0,2026-03-12 11:15:51+00:00,2026-03-12 11:15:51.999000+00:00
1773314152000,70444.45,70444.45,70444.44,70444.44,0.02202,1773314152999,1551.1867846,4,0.02158,1520.191231,0,2026-03-12 11:15:52+00:00,2026-03-12 11:15:52.999000+00:00
1773314153000,70444.44,70444.44,70444.44,70444.44,0.0,1773314153999,0.0,0,0.0,0.0,0,2026-03-12 11:15:53+00:00,2026-03-12 11:15:53.999000+00:00
